year,lat,lon,temp_c,anomaly
1950,-60.0,-150.0,4.955667045565907,-7.044332954434093
1950,-60.0,-145.0,5.117049542152789,-6.882950457847211
1950,-60.0,-140.0,5.297794849658108,-6.702205150341892
1950,-60.0,-135.0,5.283229141456247,-6.716770858543753
1950,-60.0,-130.0,5.182745936568229,-6.817254063431771
1950,-60.0,-125.0,5.245301325642203,-6.754698674357797
1950,-60.0,-120.0,5.458538638260484,-6.541461361739516
1950,-60.0,-115.0,5.367372990434777,-6.632627009565223
1950,-60.0,-110.0,4.91149488432819,-7.08850511567181
1950,-60.0,-105.0,5.686620598057111,-6.313379401942889
1950,-60.0,-100.0,5.282594792736643,-6.717405207263357
1950,-60.0,-95.0,5.2867014675126764,-6.7132985324873236
1950,-60.0,-90.0,5.547009389872411,-6.452990610127589
1950,-60.0,-85.0,4.906656573526966,-7.093343426473034
1950,-60.0,-80.0,5.526337785896289,-6.473662214103711
1950,-60.0,-75.0,5.202951681293792,-6.797048318706208
1950,-60.0,-70.0,5.2851122597400915,-6.7148877402599085
1950,-60.0,-65.0,5.196112971187049,-6.803887028812951
1950,-60.0,-60.0,5.494511485764194,-6.505488514235806
1950,-60.0,-55.0,5.445985891808824,-6.554014108191176
1950,-60.0,-50.0,5.377819415691548,-6.622180584308452
1950,-60.0,-45.0,5.7806556266595575,-6.2193443733404425
1950,-60.0,-40.0,5.243904693098081,-6.756095306901919
1950,-60.0,-35.0,5.204520143208588,-6.795479856791412
1950,-60.0,-30.0,5.359908970348519,-6.640091029651481
1950,-60.0,-25.0,5.294610326830102,-6.705389673169898
1950,-60.0,-20.0,5.4182451066901045,-6.5817548933098955
1950,-60.0,-15.0,5.304667528234753,-6.695332471765247
1950,-60.0,-10.0,5.516134458911722,-6.483865541088278
1950,-60.0,-5.0,5.600608468089109,-6.399391531910891
1950,-60.0,0.0,5.303729464451367,-6.696270535548633
1950,-60.0,5.0,5.319927724797398,-6.680072275202602
1950,-60.0,10.0,5.0878900401053695,-6.9121099598946305
1950,-60.0,15.0,5.395126337214137,-6.604873662785863
1950,-60.0,20.0,5.528847094083337,-6.471152905916663
1950,-60.0,25.0,5.190676256312385,-6.809323743687615
1950,-60.0,30.0,5.670664882304376,-6.329335117695624
1950,-60.0,35.0,5.472314420982062,-6.527685579017938
1950,-60.0,40.0,4.649116475172933,-7.350883524827067
1950,-60.0,45.0,5.298732552664722,-6.701267447335278
1950,-60.0,50.0,5.219467189870077,-6.780532810129923
1950,-60.0,55.0,5.503492451261477,-6.496507548738523
1950,-60.0,60.0,5.2879405460688425,-6.7120594539311575
1950,-60.0,65.0,5.1444745678160855,-6.8555254321839145
1950,-60.0,70.0,5.435031007932724,-6.564968992067276
1950,-60.0,75.0,5.1662742724104715,-6.8337257275895285
1950,-60.0,80.0,5.440356231811579,-6.559643768188421
1950,-60.0,85.0,5.388270935217067,-6.611729064782933
1950,-60.0,90.0,5.184535058224927,-6.815464941775073
1950,-60.0,95.0,5.493195230136104,-6.506804769863896
1950,-60.0,100.0,5.535643779649499,-6.464356220350501
1950,-60.0,105.0,5.59014244768249,-6.40985755231751
1950,-60.0,110.0,5.4501968072440246,-6.5498031927559754
1950,-60.0,115.0,5.073106985223957,-6.926893014776043
1950,-60.0,120.0,5.49684078255282,-6.50315921744718
1950,-60.0,125.0,4.951931820864058,-7.048068179135942
1950,-60.0,130.0,5.133377019841249,-6.866622980158751
